"Currency","通貨"
"Custom currency symbols were applied successfully.","カスタム通貨記号を適用しました。"
"Manage Currency","通貨管理"
"Manage Currency Rates","通貨レート管理"
"Rates","レート"
"Save Currency Symbols","通貨記号を保存"
"Symbol","記号"
"Symbols","記号"
"System","システム"
"Use Standard","標準を使用する"
