"Are you sure?",よろしいですか？
"Age Group","Age Group"
Brand,Brand
Color,Color
"Manufacturer's Part Number (MPN)","Manufacturer's Part Number (MPN)"
"Online Only","Online Only"
GTIN,GTIN
"Product Type (Category)","Product Type (Category)"
"Product Review Average","Product Review Average"
"Product Review Count","Product Review Count"
"Shipping Weight","Shipping Weight"
Material,Material
Pattern/Graphic,Pattern/Graphic
Grouping,Grouping
Redirect,リダイレクト
"Query Param","Query Param"
"Attributes Set",属性セット
"Total Qty Content Items","Total Qty Content Items"
