"Costs for inland shipping","国内の代引き手数料"
"Costs for shipping to foreign countries","外国の代引き手数料"
"Custom text for checkout page","チェックアウトページでのカスタムテキスト"
"Free Delivery Limit","代引き無料の限定"
"name","代引き"
"Pay on delivery fee","代引き"
